VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2304300002,e_e000004,2,화성 관광열차 안내소 연무대 매표소,2023-04-30,2023-04-30,경기 수원시 팔달구 창룡대로103번길 20,경기 수원시 팔달구 매향동 3-32,127.0233392,37.2878779,,,POI01000000ALZU7R,동대문종합시장 악세서리부자재시장,60.0,2,N,10.0,,4.0,3.0,4.0,
2304300003,e_e000004,3,창룡문,2023-04-30,2023-04-30,,경기 수원시 팔달구 남수동,127.0251435,37.287791,,,POI010000006N1USC,창룡문,30.0,2,N,1.0,,4.0,4.0,4.0,
2304300004,e_e000004,4,수원 화성 화홍문,2023-04-30,2023-04-30,,경기 수원시 팔달구 북수동 9000-1,127.0176261,37.2875455,,,POI01000TR021821V,수원화성 화홍문,60.0,2,N,10.0,,4.0,3.0,3.0,
2304300004,e_e000006,4,경춘선 자전거길,2023-04-30,2023-04-30,,경기 가평군 청평면 하천리 158-2,127.4362,37.7459577,,,POI01000TR008470V,경춘선자전거길,150.0,1,Y,4.0,,5.0,5.0,5.0,
2304290002,e_e000009,2,농협안성팜랜드,2023-04-29,2023-04-29,경기 안성시 공도읍 대신두길 28,경기 안성시 공도읍 신두리 451,127.1935166,36.9913166,,,POI01000000E66UWC,안성팜랜드,30.0,6,N,1.0,,4.0,4.0,4.0,
2304290003,e_e000009,3,스타필드 안성,2023-04-29,2023-04-29,경기 안성시 공도읍 서동대로 3930-39,경기 안성시 공도읍 진사리 354,127.1470947,36.9950254,,,POI01000TR000004V,스타필드 안성,150.0,4,N,1.0,,5.0,5.0,5.0,
2304300003,e_e000009,9,평택시 농업 생태원,2023-04-30,2023-04-30,경기 평택시 오성면 청오로 33-34,경기 평택시 오성면 숙성리 1033,126.983651,37.013128,,,POI01000000ALRW3H,평택시농업생태원,30.0,6,N,1.0,,5.0,5.0,5.0,
2304290006,e_e000010,4,충무아트센터 대극장,2023-04-29,2023-04-29,서울 중구 퇴계로 387,서울 중구 흥인동 131,127.0148097,37.5660269,,,POI010000006LOB2O,충무아트센터,180.0,3,Y,1.0,,4.0,4.0,4.0,
2304290009,e_e000010,7,독립문,2023-04-29,2023-04-29,서울 서대문구 통일로 251,서울 서대문구 현저동 101,126.9595426,37.5724504,,,POI01000TR026227V,독립문,30.0,2,N,1.0,,4.0,3.0,4.0,
2304300001,e_e000010,11,롯데월드 샤롯데씨어터,2023-04-30,2023-04-30,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,127.099714,37.5106427,,,POI01000000B23TBG,롯데월드 샤롯데씨어터,360.0,3,Y,1.0,,5.0,5.0,5.0,
2304300003,e_e000010,13,롯데월드 샤롯데씨어터,2023-04-30,2023-04-30,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,127.099714,37.5106427,,,POI01000000B23TBG,롯데월드 샤롯데씨어터,240.0,3,Y,1.0,,5.0,5.0,5.0,
2304290001,e_e000011,4,인사동 문화의 거리,2023-04-29,2023-04-29,서울 종로구 인사동10길 11-4,서울 종로구 관훈동 30-1,126.9855916,37.5745468,,,POI01000TR022015V,인사동 문화의거리,60.0,4,Y,1.0,,5.0,5.0,5.0,
2304290004,e_e000011,6,IFC 몰,2023-04-29,2023-04-29,서울 영등포구 국제금융로 10,서울 영등포구 여의도동 23-1,126.9259558,37.5250668,,,POI01000TR003647V,IFC몰,60.0,4,N,8.0,,4.0,4.0,4.0,
2304280003,e_e000013,3,파주 프리미엄 아울렛,2023-04-28,2023-04-28,경기 파주시 탄현면 필승로 200,경기 파주시 탄현면 법흥리 1790-8,126.6963345,37.7694708,,,POI01000TR003371V,파주프리미엄아울렛,240.0,4,N,1.0,,5.0,5.0,5.0,
2304280004,e_e000013,4,이마트 파주점,2023-04-28,2023-04-28,경기 파주시 당하길 10,경기 파주시 당하동 195-5,126.7508547,37.7470926,,,POI01000TR031117V,이마트 파주점,60.0,4,N,7.0,,4.0,3.0,3.0,
2304290001,e_e000013,6,이케아 광명점,2023-04-29,2023-04-29,경기 광명시 일직로 17,경기 광명시 일직동 500,126.8828668,37.4243279,,,POI01000TR038769V,이케아 광명점,180.0,4,Y,4.0,,5.0,5.0,5.0,
2304290002,e_e000013,7,지중해마을,2023-04-29,2023-04-29,충남 아산시 탕정면 탕정면로8번길 55-7,충남 아산시 탕정면 명암리 949-1,127.0616441,36.7969509,,,POI01000TR004648V,지중해마을,60.0,6,N,1.0,,4.0,3.0,3.0,
2305010002,e_e000014,2,에버랜드,2023-05-01,2023-05-01,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,127.2021983,37.2931011,,,POI01000TR005828V,BHC치킨 에버랜드점,360.0,6,Y,4.0,,5.0,5.0,5.0,
2304280002,e_e000015,4,스타필드 코엑스몰,2023-04-28,2023-04-28,서울 강남구 영동대로 513,서울 강남구 삼성동 159-9,127.0597769,37.5113184,,,POI01000TR017326V,스타필드 코엑스몰,210.0,3,N,5.0,,4.0,5.0,4.0,
2304290002,e_e000015,7,서울어린이대공원,2023-04-29,2023-04-29,서울 광진구 능동로 216,서울 광진구 능동 18,127.0802352,37.5499773,,,POI010000006K6KW8,서울어린이대공원,30.0,7,Y,8.0,,4.0,4.0,4.0,
2304300002,e_e000015,11,에인절 코인 노래연습장 건대점,2023-04-30,2023-04-30,서울 광진구 동일로22길 115,서울 광진구 화양동 5-91,127.070466,37.5407464,,,POI01000TR025331V,엔젤코인노래연습장 건대점,30.0,3,N,9.0,,4.0,3.0,3.0,
2304300003,e_e000015,12,코지에 FunCity,2023-04-30,2023-04-30,서울 광진구 동일로22길 81,서울 광진구 화양동 9-93,127.068792,37.5414466,,,POI01000000CI5RPB,FunCity,30.0,3,N,9.0,,4.0,3.0,3.0,
2305010003,e_e000015,19,동양 방앗간,2023-05-01,2023-05-01,서울 종로구 자하문로40길 77,서울 종로구 부암동 244-5,126.9660035,37.5934997,,,POI01000000COPY8R,동양방앗간,30.0,1,N,5.0,,4.0,3.0,4.0,
2305010004,e_e000015,20,북촌 한옥마을,2023-05-01,2023-05-01,서울 종로구 북촌로 53,서울 종로구 가회동 30-2,126.9848125,37.5817682,,,POI01000TR027795V,"북촌로,북촌한옥마을",60.0,1,N,1.0,,4.0,4.0,4.0,
2305010005,e_e000015,21,낙원악기상가,2023-05-01,2023-05-01,서울 종로구 삼일대로 428,서울 종로구 낙원동 284-6,126.9880959,37.5727919,,,POI010000006GKECS,낙원악기상가,30.0,4,N,9.0,,3.0,2.0,3.0,
2304290002,e_e000016,2,현대 프리미엄 아울렛 김포점,2023-04-29,2023-04-29,경기 김포시 고촌읍 아라육로152번길 100,경기 김포시 고촌읍 전호리 654,126.7855783,37.5993284,,,POI01000TR004195V,현대프리미엄아울렛 김포점,150.0,4,Y,4.0,,4.0,4.0,4.0,
2304290003,e_e000016,3,롯데몰 김포공항점,2023-04-29,2023-04-29,서울 강서구 하늘길 지하 77,서울 강서구 방화동 886,126.8031482,37.5633662,,,POI01000TR013745V,롯데몰 김포공항점,60.0,4,Y,6.0,,4.0,4.0,4.0,
2304290003,e_e000020,3,아침고요 수목원,2023-04-29,2023-04-29,경기 가평군 상면 수목원로 432,경기 가평군 상면 행현리 623-3,127.3516612,37.743004,,,POI01000TR025878V,아침고요수목원,120.0,6,Y,4.0,,5.0,5.0,5.0,
2304290004,e_e000020,4,나무 아래 오후 N,2023-04-29,2023-04-29,행현리 458,,127.3614387,37.7606047,,,POI02001TR005139V,나무아래오후N,90.0,4,N,9.0,,5.0,5.0,5.0,4182033000.0
2304300004,e_e000020,11,카페 아우라,2023-04-30,2023-04-30,경기 가평군 설악면 유명로 2312,경기 가평군 설악면 회곡리 447-4,127.449698,37.7077782,,,POI01000000B26AC1,카페아우라,60.0,4,N,2.0,,4.0,4.0,4.0,
2304290006,e_e000021,8,준코인 노래연습장,2023-04-29,2023-04-29,경기 화성시 남양읍 역골로 17,경기 화성시 남양읍 남양리 2075-14,126.8276565,37.2015717,,,POI02001TR027345V,쭌코인노래연습장,30.0,4,N,9.0,,4.0,4.0,4.0,
2304300003,e_e000021,12,남양성모성지,2023-04-30,2023-04-30,경기 화성시 남양읍 남양성지로 112,경기 화성시 남양읍 남양리 1704,126.8167578,37.205037,,,POI01000TR030148V,남양성모성지,60.0,2,N,6.0,,4.0,4.0,4.0,
2304290003,e_e000022,3,허브아일랜드,2023-04-29,2023-04-29,경기 포천시 신북면 청신로947번길 35,경기 포천시 신북면 삼정리 517-2,127.1316662,37.9653882,,,POI01000000669B7Z,허브아일랜드,180.0,6,N,2.0,,4.0,4.0,4.0,
2304290004,e_e000022,4,소요산,2023-04-29,2023-04-29,,경기 동두천시 상봉암동 산 1-5,127.0879419,37.9385108,,,POI0100000000WJQ1,소요산,30.0,1,N,6.0,,4.0,4.0,4.0,
2304290002,e_e000023,2,서울 시티투어버스,2023-04-29,2023-04-29,,서울 중구 태평로1가 63-1,126.976784,37.5688151,,,POI01000TR008201V,서울시티투어버스,90.0,2,N,3.0,,3.0,3.0,3.0,
2304290004,e_e000023,4,광화문광장,2023-04-29,2023-04-29,,서울 종로구 세종로 1-68,126.9769164,37.5726029,,,POI01000TR014120V,광화문광장,90.0,2,N,1.0,,5.0,5.0,5.0,
2304290006,e_e000023,6,경복궁,2023-04-29,2023-04-29,서울 종로구 사직로 161,서울 종로구 세종로 1-91,126.9768967,37.5776088,,,POI01000TR030066V,경복궁,60.0,2,Y,10.0,,5.0,5.0,5.0,
2304300004,e_e000025,3,캐널시티,2023-04-30,2023-04-30,경기 김포시 김포한강2로 41,,126.6775574,37.6404782,,,POI02001TR029240V,캐널시티,60.0,4,N,2.0,,4.0,3.0,4.0,4157010400.0
2304300004,e_e000037,3,카페 가우디,2023-04-30,2023-04-30,경기 광명시 소하로109번길 8,경기 광명시 소하동 1337-7,126.8855556,37.4465766,,,POI02001TR028833V,카페가우디,30.0,4,N,1.0,,5.0,5.0,5.0,
2304290004,e_e000039,3,에버랜드 매표소,2023-04-29,2023-04-29,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,127.2046772,37.2951819,,,POI01000TR005828V,BHC치킨 에버랜드점,30.0,6,N,5.0,,5.0,5.0,5.0,
2304290005,e_e000039,4,에버랜드 판다월드,2023-04-29,2023-04-29,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 519-19,127.202822,37.2930946,,,POI01000TR016533V,에버랜드 판다월드,30.0,6,N,9.0,,5.0,5.0,5.0,
2304290006,e_e000039,5,에버랜드 사파리월드,2023-04-29,2023-04-29,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 506,127.2049909,37.2910753,,,POI02001TR020445V,에버랜드 사파리월드,90.0,6,N,2.0,,5.0,5.0,5.0,
2304290007,e_e000039,6,에버랜드 T 익스프레스,2023-04-29,2023-04-29,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,127.202818,37.2899266,,,POI01000TR005828V,BHC치킨 에버랜드점,30.0,6,N,1.0,,5.0,5.0,5.0,
2304290008,e_e000039,7,에버랜드 장미원,2023-04-29,2023-04-29,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,127.1983865,37.2909937,,,POI02001TR020446V,에버랜드 장미원,60.0,6,N,9.0,,5.0,5.0,5.0,
2304290009,e_e000039,8,포메인 에버랜드 직영점,2023-04-29,2023-04-29,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,127.2005216,37.2915064,,,POI01000000ER5I9X,포메인,60.0,6,N,9.0,,4.0,3.0,4.0,
2304280005,e_e000040,4,서울로 717,2023-04-28,2023-04-28,서울 중구 퇴계로 33,서울 중구 남대문로5가 67-4,126.9702972,37.5566231,,,POI01000TR010724V,서울로7017,30.0,7,Y,4.0,,4.0,3.0,4.0,
2304280007,e_e000040,6,숭례문,2023-04-28,2023-04-28,서울 중구 세종대로 40,서울 중구 남대문로4가 29,126.9753131,37.560003,,,POI0100000068TN5V,숭례문,30.0,2,Y,4.0,,5.0,3.0,3.0,
2304290006,e_e000041,10,쌍용 폐기 닭 본점,2023-04-29,2023-04-29,경기 평택시 자유로20번길 9,경기 평택시 합정동 728-16,127.0917547,36.9929131,,,POI02001TR019037V,쌍용폐계닭 본점,30.0,4,Y,2.0,,5.0,5.0,5.0,
2304300002,e_e000041,14,바리고 빈스,2023-04-30,2023-04-30,경기 화성시 효행로481번길 24,경기 화성시 안녕동 186-95,126.9889629,37.2076067,,,POI01000TR043363V,바링고빈스,30.0,2,N,2.0,,5.0,5.0,5.0,
2304300003,e_e000041,13,화성 융릉과 건릉,2023-04-30,2023-04-30,경기 화성시 효행로481번길 21,경기 화성시 안녕동 187-1,126.9909693,37.2117236,,,POI010000009H3PJX,화성융릉과건릉,90.0,2,N,2.0,,4.0,4.0,4.0,
2305010004,e_e000042,3,휠 프렌즈,2023-05-01,2023-05-01,인천 옹진군 북도면 신도로 23,인천 옹진군 북도면 신도리 523-47,126.4393505,37.5164658,,,POI02001TR034614V,휠프렌즈,30.0,5,N,2.0,,5.0,5.0,5.0,
2305010006,e_e000042,5,수기 해변,2023-05-01,2023-05-01,,인천 옹진군 북도면 시도리,126.4318545,37.5446481,,,POI01000TR032740V,수기해변,60.0,2,N,1.0,,4.0,4.0,4.0,
2305010008,e_e000042,7,예단포둘레길,2023-05-01,2023-05-01,,인천 중구 운북동 1264-1,126.5019626,37.5311866,,,POI01000TR038701V,예단포둘레길,60.0,7,N,1.0,,4.0,4.0,4.0,
2304290003,e_e000045,2,장흥농협 하나로마트 송추점,2023-04-29,2023-04-29,경기 양주시 장흥면 호국로 561,경기 양주시 장흥면 부곡리 539-1,126.9763129,37.7192397,,,POI01000000B1F1K8,장흥농협송추지점,30.0,4,N,8.0,,3.0,3.0,3.0,
2304300002,e_e000045,6,마장호수,2023-04-30,2023-04-30,,경기 파주시 광탄면 기산리 451-2,126.9302204,37.7749418,,,POI01000TR003342V,마장호수,90.0,1,N,1.0,,5.0,5.0,5.0,
2304280004,e_e000046,3,푸른 솔 GC 포천,2023-04-28,2023-04-28,,경기 포천시 가산면 마전리 17-37,127.2346918,37.8417167,,,POI02001TR031229V,푸른솔GC 포천,450.0,5,Y,4.0,,5.0,5.0,5.0,
2305280005,e_e000293,5,링크 아트센터,2023-05-28,2023-05-28,서울 종로구 대학로14길 29,서울 종로구 혜화동 163-24,127.0022961,37.5846892,,,POI02001TR009640V,링크아트센터,150.0,3,Y,4.0,,5.0,5.0,5.0,
2305280007,e_e000293,7,예스24 스테이지,2023-05-28,2023-05-28,서울 종로구 대학로12길 21,서울 종로구 동숭동 1-52,127.0032606,37.5827557,,,POI010000006LP5BS,브알라 Cafe 대학로,120.0,3,Y,1.0,,4.0,5.0,4.0,
2305200001,e_e000294,4,에버랜드,2023-05-20,2023-05-20,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,127.2021983,37.2931011,,,POI01000TR005828V,BHC치킨 에버랜드점,780.0,6,Y,4.0,,5.0,5.0,5.0,
